hs6,hscode10,류,호,소호,세번10단위품명,신성질별 분류명
10612,106122000,제1류 산동물,그 밖의 살아 있는 동물,"고래ㆍ돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물), 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)","물개, 바다사자와 바다코끼리(기각아목의 포유동물)",기타 산 동물
10613,106130000,제1류 산동물,그 밖의 살아 있는 동물,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],기타 산 동물
10614,106149000,제1류 산동물,그 밖의 살아 있는 동물,토끼,기타,기타 산 동물
10614,106141000,제1류 산동물,그 밖의 살아 있는 동물,토끼,번식용,기타 산 동물
10619,106194000,제1류 산동물,그 밖의 살아 있는 동물,기타,곰,기타 산 동물
10619,106199000,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10619,106196090,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10619,106196010,제1류 산동물,그 밖의 살아 있는 동물,기타,번식용,기타 산 동물
10619,106195090,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10619,106191000,제1류 산동물,그 밖의 살아 있는 동물,기타,개,기타 산 동물
10619,106195010,제1류 산동물,그 밖의 살아 있는 동물,기타,번식용,기타 산 동물
10619,106193000,제1류 산동물,그 밖의 살아 있는 동물,기타,사슴,기타 산 동물
10620,106202000,제1류 산동물,그 밖의 살아 있는 동물,파충류(뱀과 거북을 포함한다),자라,기타 산 동물
10620,106209000,제1류 산동물,그 밖의 살아 있는 동물,파충류(뱀과 거북을 포함한다),기타,기타 산 동물
10620,106201000,제1류 산동물,그 밖의 살아 있는 동물,파충류(뱀과 거북을 포함한다),뱀,기타 산 동물
10620,106203000,제1류 산동물,그 밖의 살아 있는 동물,파충류(뱀과 거북을 포함한다),거북,기타 산 동물
10631,106310000,제1류 산동물,그 밖의 살아 있는 동물,맹금류,맹금류,기타 산 동물
10632,106320000,제1류 산동물,그 밖의 살아 있는 동물,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],기타 산 동물
10633,106330000,제1류 산동물,그 밖의 살아 있는 동물,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],기타 산 동물
10639,106390000,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10641,106419000,제1류 산동물,그 밖의 살아 있는 동물,벌,기타,기타 산 동물
10641,106411000,제1류 산동물,그 밖의 살아 있는 동물,벌,꿀벌,기타 산 동물
10649,106490000,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10690,106903010,제1류 산동물,그 밖의 살아 있는 동물,기타,갯지렁이,기타 산 동물
10690,106901000,제1류 산동물,그 밖의 살아 있는 동물,기타,양서류,기타 산 동물
10690,106909000,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10690,106903090,제1류 산동물,그 밖의 살아 있는 동물,기타,기타,기타 산 동물
10690,106903020,제1류 산동물,그 밖의 살아 있는 동물,기타,실지렁이,기타 산 동물
20110,201100000,제2류 육과 식용설육,쇠고기(신선한 것이나 냉장한 것으로 한정한다),도체(屠體)와 이분도체(二分屠體),도체(屠體)와 이분도체(二分屠體),소고기
20120,201209000,제2류 육과 식용설육,쇠고기(신선한 것이나 냉장한 것으로 한정한다),그 밖의 것으로서 뼈째로 절단한 것,기타,소고기
20120,201201000,제2류 육과 식용설육,쇠고기(신선한 것이나 냉장한 것으로 한정한다),그 밖의 것으로서 뼈째로 절단한 것,갈비,소고기
20130,201300000,제2류 육과 식용설육,쇠고기(신선한 것이나 냉장한 것으로 한정한다),뼈 없는 것,뼈 없는 것,소고기
20210,202100000,제2류 육과 식용설육,쇠고기(냉동한 것으로 한정한다),도체(屠體)와 이분도체(二分屠體),도체(屠體)와 이분도체(二分屠體),소고기
20220,202209000,제2류 육과 식용설육,쇠고기(냉동한 것으로 한정한다),그 밖의 것으로서 뼈째로 절단한 것,기타,소고기
20220,202201000,제2류 육과 식용설육,쇠고기(냉동한 것으로 한정한다),그 밖의 것으로서 뼈째로 절단한 것,갈비,소고기
20230,202300000,제2류 육과 식용설육,쇠고기(냉동한 것으로 한정한다),뼈 없는 것,뼈 없는 것,소고기
20311,203110000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",도체(屠體)와 이분도체(二分屠體),도체(屠體)와 이분도체(二分屠體),돼지고기
20312,203120000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),돼지고기
20319,203199000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,기타,돼지고기
20319,203191000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,삼겹살,돼지고기
20321,203210000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",도체(屠體)와 이분도체(二分屠體),도체(屠體)와 이분도체(二分屠體),돼지고기
20322,203220000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),돼지고기
20329,203299000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,기타,돼지고기
20329,203291000,제2류 육과 식용설육,"돼지고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,삼겹살,돼지고기
20410,204100000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다),어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다),기타 육류
20421,204210000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",도체(屠體)와 이분도체(二分屠體),도체(屠體)와 이분도체(二分屠體),기타 육류
20422,204220000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",그 밖의 것으로서 뼈째로 절단한 것,그 밖의 것으로서 뼈째로 절단한 것,기타 육류
20423,204230000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",뼈 없는 것,뼈 없는 것,기타 육류
20430,204300000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다),어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다),기타 육류
20441,204410000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",도체(屠體)와 이분도체(二分屠體),도체(屠體)와 이분도체(二分屠體),기타 육류
20442,204420000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",그 밖의 것으로서 뼈째로 절단한 것,그 밖의 것으로서 뼈째로 절단한 것,기타 육류
20443,204430000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",뼈 없는 것,뼈 없는 것,기타 육류
20450,204502000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",산양의 고기,냉동한 것,기타 육류
20450,204501000,제2류 육과 식용설육,"면양과 산양의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",산양의 고기,신선한 것이거나 냉장한 것,기타 육류
20500,205001000,제2류 육과 식용설육,"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",신선한 것이거나 냉장한 것,기타 육류
20500,205002000,제2류 육과 식용설육,"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",냉동한 것,기타 육류
20610,206100000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",소의 것(신선한 것이나 냉장한 것으로 한정한다),소의 것(신선한 것이나 냉장한 것으로 한정한다),소 설육
20621,206210000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",혀,혀,소 설육
