hs6,hscode10,류,호,소호,세번10단위품명,신성질별 분류명
20622,206220000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",간,간,소 설육
20629,206291000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,꼬리,소 설육
20629,206292000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,족,소 설육
20629,206299000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,기타,소 설육
20630,206300000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",돼지의 것(신선한 것이나 냉장한 것으로 한정한다),돼지의 것(신선한 것이나 냉장한 것으로 한정한다),돼지 설육
20641,206410000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",간,간,돼지 설육
20649,206491000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,족,돼지 설육
20649,206499000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타,기타,돼지 설육
20680,206800000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(신선한 것이나 냉장한 것으로 한정한다),기타(신선한 것이나 냉장한 것으로 한정한다),기타 설육
20690,206900000,제2류 육과 식용설육,"소ㆍ돼지ㆍ면양ㆍ산양ㆍ말ㆍ당나귀ㆍ노새ㆍ버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",기타(냉동한 것으로 한정한다),기타(냉동한 것으로 한정한다),기타 설육
20711,207119000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),기타,닭고기
20711,207111000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),중량이 550그램 이하인 것,닭고기
20712,207121000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(냉동한 것으로 한정한다),중량이 550그램 이하인 것,닭고기
20712,207129000,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단하지 않은 육(냉동한 것으로 한정한다),기타,닭고기
20713,207132010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),간,닭 설육
20713,207132090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),기타,닭 설육
20713,207131090,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),기타,닭고기
20713,207131030,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),날개,닭고기
20713,207131010,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),다리,닭고기
20713,207131020,제2류 육과 식용설육,"제0105호의 가금(家禽)류의 육과 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",절단육과 설육(屑肉)(신선한 것이나 냉장한 것으로 한정한다),가슴,닭고기
